日期,司机编号,平均星级,在线时长,抢单点击次数,成功抢单数,完成订单数,订单实际总公里数,车费收入
周五,124,4.8,12.42,115,20,14,120,645.1
周五,125,5,9.33,102,11,11,92.4,607.6
周五,126,4.8,12.42,79,20,15,146.1,752.9
周五,127,5,8.92,5,2,2,20.2,156.6
周五,128,4.9,14.17,170,10,9,59.3,337.9
周五,129,5,6.83,13,4,2,28.8,145.9
周五,130,5,9.25,20,7,7,91.6,431.5
周五,131,5,5.92,17,7,6,25.4,163.8
周五,132,5,10,27,11,8,74.3,400.4
周五,133,4.9,3.33,33,7,7,37.8,241.9
周五,134,5,9.42,26,10,9,102.4,530.5
周五,135,4.9,11.3333,103,18,17,109.3,659.7
周五,136,4.7,7.4167,111,7,7,36.6,150.4
周五,137,5,14.3333,116,20,18,220.2,1082.8
周五,138,4.9,14.3333,125,15,14,165.4,745.3
周五,139,5,7.9167,85,5,5,13.3,110
周五,140,5,16.8333,68,24,23,186.9,994.6
周五,141,4.9,12.8333,66,17,16,106.6,604.5
周五,142,4.9,9.0833,41,9,9,65.4,361.6
周五,143,5,6.9167,8,5,4,32.9,195.3
周五,144,4.9,13.6667,81,12,7,201.7,911
周五,145,4.6,2.5,13,2,2,23.8,102.1
周五,146,5,11.75,57,17,15,120.5,667.1
周五,147,4.9,18.8333,83,21,15,125.1,775.4
周五,148,5,13.6667,56,19,14,96.4,587.9
周五,149,4.9,10.5,53,14,10,192.7,904.2
周五,150,5,9.5833,64,16,11,126.4,655.5
周五,151,5,12.5,83,19,16,85.9,524.3
周五,152,4.8,11.0833,44,13,12,96.5,498.6
周五,153,5,7.25,71,7,7,31.8,228.8
周五,154,5,14.3333,76,11,10,67.4,396
周五,155,5,8.9167,16,7,6,68.4,398.2
周五,156,5,8.8333,7,4,4,23.5,133.1
周五,157,4.9,15.8333,113,16,16,143.3,798.3
周五,158,4.7,5.25,12,2,2,11.9,73.5
周五,159,4.9,13.0833,59,20,15,251.9,1126.4
周五,160,5,3.8333,22,5,5,39.5,206.1
周五,161,4.9,10.9167,99,16,14,174.2,843
周五,162,4.9,2.75,7,3,3,37.4,180.3
周五,163,5,8.3333,25,9,8,69,375.6
周五,164,5,10.3333,27,9,8,43.1,253
周五,165,4.9,13.75,12,3,2,13.2,63.6
周五,166,4.9,12.9167,57,20,19,115.2,656.9
周五,167,4.8,16.75,135,20,19,122.5,752.5
周五,168,4.9,17.6667,86,27,25,162,995.6
周五,169,4.6,3,26,2,2,13.4,68.9
周五,170,5,10.25,13,5,6,69,430.7
周五,171,4.9,13.1667,38,19,19,100.2,711.3
周五,172,5,5.1667,25,5,2,18.5,84.5
周五,173,4.8,4.6667,7,2,2,12.6,84.6
周五,174,4.8,5.0833,56,8,7,38.8,235
周五,175,5,11.1667,79,12,13,92.3,595.1
周五,176,5,13.8333,106,18,15,140.6,751.1
周五,177,5,6.5833,53,12,9,104,509.7
周五,178,5,11.3333,29,10,11,107.1,561.7
周五,179,4.8,10.4167,94,12,11,77.2,419.4
周五,180,5,17,91,11,11,89.9,479.3
周五,181,5,13.3333,42,20,17,103.1,656.2
周五,182,5,9.25,89,3,3,6.2,60.6
周五,183,4.6,6.5,52,9,7,41.7,250.8
周五,184,4.9,16.4167,42,14,12,169.9,764.6
周五,185,4.9,3.1667,27,7,6,24.2,157.5
周五,186,4.9,9.1667,74,18,18,116.7,672.7
周五,187,5,2.0833,6,4,4,44,245.5
周五,188,5,16.1667,31,12,11,132.6,672.8
周五,189,4.9,6.1667,45,8,7,49.5,317.6
周五,190,5,9.0833,21,9,7,81.4,437.5
周五,191,4.8,10.0833,50,11,11,78.3,501.7
周五,192,5,5.25,36,5,2,15.4,74.7
周五,193,4.9,11.6667,86,16,16,46,372.1
周五,194,4.9,5.25,25,4,4,18,130.2
周五,195,5,4.5833,8,4,4,22.6,153.5
周五,196,5,14.9167,43,12,9,88.8,480.7
周五,197,4.9,5.75,29,4,4,11.1,92.3
周五,198,5,6.75,29,5,5,46,219.8
周五,199,4.9,13.5833,63,20,15,91.4,544.8
周五,200,5,8.8333,53,12,3,40.1,197.8
周五,201,4.9,12.25,24,10,9,110.3,626
周五,202,4.9,11,33,18,18,110.9,663.2
周五,203,5,8,28,12,12,73.8,456.1
周五,204,5,16.3333,93,24,21,196,1111.7
周五,205,4.8,10,61,7,5,21.8,138.2
周五,206,5,12.3333,93,18,17,120.8,716.2
周五,207,4.8,8.3333,32,12,9,54.3,329.7
周五,208,5,6.4167,13,11,11,67.5,421.4
周五,209,4.9,20.4167,97,18,17,179.2,958.2
周五,210,5,9.4167,54,12,11,73.7,430.1
周五,211,4.9,7.25,57,11,8,78.9,378.7
周五,212,4.9,5.25,42,7,7,35.7,247.5
周五,213,5,7.5,73,11,10,62.7,358
周五,214,4.9,13.6667,45,11,11,100.2,527.7
周五,215,4.7,8.5833,32,7,5,100.1,434.6
周五,216,4.9,10.8333,70,11,9,69.5,374.9
周五,217,5,12.25,72,18,16,140.9,760.5
周五,218,4.7,1.75,31,3,3,10.6,88.3
周五,219,5,6.3333,55,8,8,85.5,431.9
周五,220,5,8,110,9,9,41.9,283.5
周五,221,4.7,13.0833,119,20,18,114.1,656.6
周五,222,4.9,6.3333,56,12,12,43.3,354.9
周五,223,5,2.75,5,2,2,4,44.6
周五,224,4.8,12.9167,47,20,19,134.6,750.8
周五,225,5,5.5833,12,5,5,3.5,75.3
周五,226,4.9,4.5,51,3,3,19.7,128
周五,227,4.8,3.5,10,6,6,27.1,188.6
周五,228,5,12.1667,12,6,6,81.9,378.6
周五,229,4.8,3.3333,7,4,4,16.8,129.7
周五,230,5,15.0833,114,8,7,13.3,143.5
周五,231,5,12.4167,47,15,15,149.6,769.5
周五,232,5,9.3333,46,2,2,6.2,40.7
周五,233,5,2.75,12,6,3,13,95.7
周五,234,5,6,17,6,6,31.6,269.6
周五,235,5,9.5,22,10,10,90.9,542.3
周五,236,5,3.75,17,3,3,19.4,109.3
周五,237,4.7,4.25,44,4,3,17.7,111.4
周五,238,5,5.6667,33,2,2,10.9,64.6
周五,239,4.7,8.9167,44,6,6,17.2,130.7
周五,240,4.9,15.0833,75,19,17,98.5,731.8
周五,241,4.9,12.6667,31,5,3,7.1,65.6
周五,242,5,5.8333,24,5,5,13.6,104.9
周五,243,5,10.6667,31,21,19,107.7,734.9
周五,244,4.9,5.5,12,3,3,19.4,131.3
周五,245,4.9,13.0833,161,23,19,87.7,579.2
周五,246,5,9.75,25,11,10,102.7,580.1
周五,247,5,13,83,14,13,111.6,642
周五,248,5,17.0833,73,18,18,139.9,722.8
周五,249,5,6.75,66,9,9,70.1,357.1
周五,250,5,4.5833,10,6,5,54.9,295.6
周五,251,4.8,8,45,12,12,101.2,577.3
周五,252,5,13.3333,155,9,9,22.5,200.4
周五,253,5,9.0833,36,4,4,18,107.2
周五,254,5,11.3333,21,9,9,86.7,479.2
周五,255,5,9.75,48,13,12,116.7,600.4
周五,256,4.8,9.5833,82,10,7,68,337.4
周五,257,4.8,16.9167,69,15,13,68.6,537
周五,258,4.9,3.8333,11,5,4,30.1,156.3
周五,259,4.8,16.5833,116,19,17,123.5,745.5
周五,260,5,8.0833,71,9,8,36.9,244.7
周五,261,5,8.3333,12,4,4,9.1,86.5
周五,262,4.8,15.25,164,24,22,146.3,877.8
周五,263,5,3.1667,21,5,4,55,276.6
周五,264,4.9,4,10,7,4,51.9,263.7
周五,265,5,6.75,7,6,5,30.5,163.5
周五,266,4.7,15.3333,34,8,8,107.4,589.3
周五,267,4.9,15.5,134,12,11,64.8,401.3
周五,268,5,6.25,11,6,6,43.3,215.4
周五,269,5,13.25,52,14,13,110.5,684.7
周五,270,5,3.0833,6,2,3,30.7,134
周五,271,4.8,4.6667,7,5,5,21.5,140.2
周五,272,4.9,13.9167,59,16,13,83.2,424.3
周五,273,4.9,10.4167,43,18,14,85.6,551.5
周五,274,4.7,12.8333,99,6,6,31.4,169
周五,275,5,4.25,70,6,5,25.8,166.7
周五,276,4.8,4.9167,28,7,4,31,170.9
周五,277,4.9,14.3333,64,18,16,111.1,688.2
周五,278,4.9,9.8333,127,5,4,10.6,95.7
周五,279,4.8,15.25,97,25,21,138.9,862
周五,280,5,4.6667,18,5,4,26.9,172.9
周五,281,4.9,12.3333,55,15,16,133,703
周五,282,5,11.25,39,6,5,33.1,173.3
周五,283,4.9,9.0833,162,10,10,77.3,406.2
周五,284,4.9,10.1667,28,12,12,63.6,426.4
周五,285,5,5.5833,48,15,12,54.1,341
周五,286,4.6,12,59,17,15,99.5,591.1
周五,287,4.9,12.3333,85,12,11,62.1,372
周五,288,5,5.9167,19,5,4,51.4,214.8
周五,289,5,8.3333,36,2,4,29,174.1
周五,290,5,3.6667,42,4,5,15.7,127.5
周五,291,5,3,18,4,3,25.1,143.7
周五,292,5,12.5,38,18,15,105.8,627.7
周五,293,5,6.6667,65,6,6,8.6,110.3
周五,294,4.9,6.8333,13,6,4,36.8,186.8
周五,295,5,9.5833,36,15,14,75.6,484.2
周五,296,4.9,15.6667,78,24,22,158.3,913.6
周五,297,5,5.75,39,12,10,41.1,300.1
周五,298,4.7,6.9167,28,8,5,47.6,239
周五,299,5,8.8333,6,3,3,21.3,119
周五,300,5,9.9167,30,12,12,64,404.4
